experiment,policy,ratio,run_id,evidence_class,identity_available,eviction_selected_count,refaulted_block_count,refaulted_bytes,eviction_to_refault_us_mean,interpretation
oversub,custom_no_policy,1.10,20260813T103911Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.10,20260813T103952Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,custom_no_policy,1.10,20260813T104033Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,14724,1200,2516582400,1145084.0000625001,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,custom_no_policy,1.10,20260813T104119Z_nsys_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,14698,1198,2512388096,1373973.046944908,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_adaptive_sequential,0.95,20260812T213636Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,0.95,20260812T213700Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,0.95,20260812T213723Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,0.95,20260812T213746Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.05,20260813T103616Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.05,20260813T103648Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.05,20260813T103720Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.05,20260813T103752Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,13388,626,1312817152,437663.9895415336,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_adaptive_sequential,1.10,20260813T104513Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.10,20260813T104547Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.10,20260813T104620Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_adaptive_sequential,1.10,20260813T104653Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,14755,1225,2569011200,712945.3727934695,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_adaptive_sequential,1.10,20260813T104730Z_nsys_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,14733,1223,2564816896,830212.0843426002,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_always_max,0.95,20260812T213510Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,0.95,20260812T213531Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,0.95,20260812T213553Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,0.95,20260812T213614Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.05,20260813T103417Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.05,20260813T103447Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.05,20260813T103516Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.05,20260813T103545Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,13359,601,1260388352,235360.47385690513,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_always_max,1.10,20260813T104230Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.10,20260813T104300Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.10,20260813T104331Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_always_max,1.10,20260813T104401Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,14724,1199,2514485248,464767.23482318595,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_always_max,1.10,20260813T104433Z_nsys_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,True,14702,1197,2510290944,509340.6920668338,SAME_USER_VA_BLOCK_IN_A_FIRST_B_EVICTION_A_REUSE
oversub,prefetch_none,0.95,20260812T212116Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_none,0.95,20260812T212421Z_timing_r2,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_none,0.95,20260812T212726Z_timing_r3,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_none,0.95,20260812T213029Z_trace_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
oversub,prefetch_none,1.05,20260812T214954Z_timing_r1,GPU_EXT_EVICTION_TRACE+GPU_EXT_PREFETCH_DECISION_TRACE,False,0,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
