policy,size,metric,evidence_class,count,mean,median,min,max,stdev,p95,correct_runs,total_runs
prefetch_adaptive_sequential,256M,kernel_2_hot_ms,PROGRAM_TIMING,10,0.9955328,0.995328,0.992256,0.999424,0.0017932186332588244,0.999424,14,14
prefetch_always_max,1G,allocation_ms,PROGRAM_TIMING,5,0.236724,0.233644,0.227763,0.260495,0.013596794309689316,0.260495,6,6
prefetch_always_max,1G,cpu_first_touch_ms,PROGRAM_TIMING,5,1272.2327194000002,1270.974527,1264.222179,1280.962563,6.249603649361513,1280.962563,6,6
prefetch_always_max,1G,kernel_1_demand_ms,PROGRAM_TIMING,5,302.10539559999995,302.329865,300.317688,304.243713,1.4755641437405662,304.243713,6,6
prefetch_always_max,1G,kernel_1_over_kernel_2,PROGRAM_TIMING,5,75.03182176681477,75.03024365668678,74.54982007816471,75.54360563858697,0.3808861467486438,75.54360563858697,6,6
prefetch_always_max,1G,kernel_2_hot_ms,PROGRAM_TIMING,5,4.026368,4.027392,4.020224,4.02944,0.003620386719675227,4.02944,6,6
prefetch_always_max,256M,allocation_ms,PROGRAM_TIMING,10,0.2334927,0.23232150000000001,0.2209,0.250346,0.009017310107047816,0.250346,14,14
prefetch_always_max,256M,cpu_first_touch_ms,PROGRAM_TIMING,10,317.4614788,317.0372085,314.763147,320.858922,1.8118424217646396,320.858922,14,14
prefetch_always_max,256M,kernel_1_demand_ms,PROGRAM_TIMING,10,78.3790078,78.1803515,77.84243,79.203331,0.4958852751079096,79.203331,14,14
prefetch_always_max,256M,kernel_1_over_kernel_2,PROGRAM_TIMING,10,79.02417427098199,78.96856730016034,78.28836050141607,79.95134777756212,0.5711444611369098,79.95134777756212,14,14
prefetch_always_max,256M,kernel_2_hot_ms,PROGRAM_TIMING,10,0.9918464,0.991232,0.98816,0.997376,0.0033513301903042173,0.997376,14,14
prefetch_none,1G,allocation_ms,PROGRAM_TIMING,5,0.24591539999999998,0.243633,0.23161,0.268781,0.014906932860249954,0.268781,6,6
prefetch_none,1G,cpu_first_touch_ms,PROGRAM_TIMING,5,8140.0981384,8142.052314,8101.416127,8176.373325,28.013321155822652,8176.373325,6,6
