policy,ratio,phase,evidence_class,count,mean,median,stdev,p95,min,max,correctness_pass_rate
prefetch_adaptive_sequential,0.95,phase_B_reuse,PROGRAM_TIMING,3,34.706774333333335,34.710529,0.009290605487983605,34.7136,34.696194,34.7136,1.0
prefetch_adaptive_sequential,1.05,phase_A_first,PROGRAM_TIMING,3,2074.1088866666664,2073.177002,20.87851836388776,2095.437744,2053.711914,2095.437744,1.0
prefetch_adaptive_sequential,1.05,phase_A_reuse,PROGRAM_TIMING,3,2778.5557453333336,2783.979492,56.93298372925667,2832.582764,2719.10498,2832.582764,1.0
prefetch_adaptive_sequential,1.05,phase_B_first,PROGRAM_TIMING,3,2113.498128333333,2113.67627,15.25627355446241,2128.664551,2098.153564,2128.664551,1.0
prefetch_adaptive_sequential,1.05,phase_B_reuse,PROGRAM_TIMING,3,2683.4820963333336,2670.429199,54.816883626484035,2743.647217,2636.369873,2743.647217,1.0
prefetch_adaptive_sequential,1.10,phase_A_first,PROGRAM_TIMING,3,2329.4262696666665,2287.414307,78.9595584074803,2420.509766,2280.354736,2420.509766,1.0
prefetch_adaptive_sequential,1.10,phase_A_reuse,PROGRAM_TIMING,3,2833.729248333333,2834.791504,13.431565319300034,2846.598145,2819.798096,2846.598145,1.0
prefetch_adaptive_sequential,1.10,phase_B_first,PROGRAM_TIMING,3,2356.0450846666668,2360.818604,14.214635034628257,2367.258545,2340.058105,2367.258545,1.0
prefetch_adaptive_sequential,1.10,phase_B_reuse,PROGRAM_TIMING,3,2770.921142333333,2763.525146,49.25079219707934,2823.45166,2725.786621,2823.45166,1.0
prefetch_always_max,0.95,phase_A_first,PROGRAM_TIMING,3,1297.032552,1297.158203,4.987026834709329,1301.955566,1291.983887,1301.955566,1.0
prefetch_always_max,0.95,phase_A_reuse,PROGRAM_TIMING,3,34.576385333333334,34.576385,0.007167500005814603,34.583553,34.569218,34.583553,1.0
prefetch_always_max,0.95,phase_B_first,PROGRAM_TIMING,3,1311.4337563333331,1311.442993,2.4099862754251338,1313.839111,1309.019165,1313.839111,1.0
prefetch_always_max,0.95,phase_B_reuse,PROGRAM_TIMING,3,34.71564733333333,34.714622,0.008750171788789115,34.724865,34.707455,34.724865,1.0
prefetch_always_max,1.05,phase_A_first,PROGRAM_TIMING,3,1438.2298176666666,1439.887329,3.3232564467860937,1440.398315,1434.403809,1440.398315,1.0
prefetch_always_max,1.05,phase_A_reuse,PROGRAM_TIMING,3,2292.263265,2290.820068,5.992147602417562,2298.845215,2287.124512,2298.845215,1.0
prefetch_always_max,1.05,phase_B_first,PROGRAM_TIMING,3,1510.9311113333333,1511.094238,4.727880114109753,1515.575317,1506.123779,1515.575317,1.0
prefetch_always_max,1.05,phase_B_reuse,PROGRAM_TIMING,3,2292.6888833333337,2291.282959,2.600066628843686,2295.689209,2291.094482,2295.689209,1.0
prefetch_always_max,1.10,phase_A_first,PROGRAM_TIMING,3,1500.840983,1501.933594,2.9372274557737423,1503.075317,1497.514038,1503.075317,1.0
prefetch_always_max,1.10,phase_A_reuse,PROGRAM_TIMING,3,2404.405192333333,2404.554688,1.3323546795858274,2405.656494,2403.004395,2405.656494,1.0
prefetch_always_max,1.10,phase_B_first,PROGRAM_TIMING,3,1683.5727133333332,1683.853271,0.8289490228393253,1684.224976,1682.639893,1684.224976,1.0
prefetch_always_max,1.10,phase_B_reuse,PROGRAM_TIMING,3,2414.0861816666666,2414.669922,3.1831008490575274,2416.937012,2410.651611,2416.937012,1.0
prefetch_none,0.95,phase_A_first,PROGRAM_TIMING,3,57676.10026033333,57838.835938,552.2901715308286,58128.738281,57060.726562,58128.738281,1.0
prefetch_none,0.95,phase_A_reuse,PROGRAM_TIMING,3,34.62314733333333,34.623489,0.008708528253004803,34.63168,34.614273,34.63168,1.0
prefetch_none,0.95,phase_B_first,PROGRAM_TIMING,3,57206.265625,57389.742188,504.08490288335224,57592.914062,56636.140625,57592.914062,1.0
prefetch_none,0.95,phase_B_reuse,PROGRAM_TIMING,3,34.70165533333333,34.696194,0.009459306810404085,34.712578,34.696194,34.712578,1.0
