policy,run_id,size,run_kind,evidence_class,workload_pid,prefetch_trace_available,chunk_trace_available,prefetch_callback_count,prefetch_rows_total,pid_attribution,default_action_count,bypass_action_count,enter_loop_action_count,selected_prefetch_pages,selected_prefetch_bytes,max_region_pages_mean,page_index_min,page_index_max,chunk_activate_count,chunk_populate_count,eviction_prepare_count
prefetch_always_max,20260812T185901Z_256M_trace_r1,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,136890,True,True,768,768,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,0,0
prefetch_always_max,20260812T185904Z_256M_trace_r2,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,136933,True,True,768,768,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,0,0
prefetch_always_max,20260812T185908Z_256M_trace_r3,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,136979,True,True,768,768,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,0,0
prefetch_always_max,20260812T185912Z_256M_nsys_r1,256M,nsys,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,137047,True,True,768,768,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,0,0
prefetch_always_max,20260812T185942Z_1G_trace_r1,1G,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,137395,True,True,3072,3072,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,1536,0,0
prefetch_none,20260812T185527Z_256M_trace_r1,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,135865,True,True,393216,393216,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,50596,0
prefetch_none,20260812T185536Z_256M_trace_r2,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,135911,True,True,393216,393216,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,50189,0
prefetch_none,20260812T185545Z_256M_trace_r3,256M,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,135961,True,True,393216,393216,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,50359,0
prefetch_none,20260812T185554Z_256M_nsys_r1,256M,nsys,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,136032,True,True,393216,393216,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,384,46622,0
prefetch_none,20260812T185802Z_1G_trace_r1,1G,trace,GPU_EXT_PREFETCH_TRACE+GPU_EXT_CHUNK_TRACE,136432,True,True,1572864,1572864,True,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,UNAVAILABLE,512.0,0,511,1536,368612,0
